Station_Code,Station_Name,Short,Medium,Long,Total_Distinct_Trains,Pct_Short,Pct_Medium,Pct_Long
MJ,MARWAR JN.,7,13,74,94,7.4,13.8,78.7
CLX,CHIRALA,4,10,80,94,4.3,10.6,85.1
DRD,DAHANU ROAD,21,30,43,94,22.3,31.9,45.7
INDB,INDORE BG,20,17,57,94,21.3,18.1,60.6
RJPB,RAJENDRANAGA,5,22,67,94,5.3,23.4,71.3
KVP,KAVARAIPPETT,3,89,2,94,3.2,94.7,2.1
RNY,RANGIYA JN.,2,10,82,94,2.1,10.6,87.2
ANVT,ANAND VIHAR,8,9,76,93,8.6,9.7,81.7
CHE,SRIKAKULAM R,5,18,70,93,5.4,19.4,75.3
KBT,KADAMBATTUR,4,89,0,93,4.3,95.7,0.0
PTKC,PATHANKOT CA,6,10,77,93,6.5,10.8,82.8
GGTA,GHORAGHATA,2,90,1,93,2.2,96.8,1.1
WR,WARDHA JN.,4,12,76,92,4.3,13.0,82.6
DMM,DHARMAVARAM,8,3,81,92,8.7,3.3,88.0
DBG,DARBHANGA JN,2,14,76,92,2.2,15.2,82.6
BOE,BARSOI JN.,3,16,73,92,3.3,17.4,79.3
DEC,DELHI CANTT,1,28,62,91,1.1,30.8,68.1
ASKR,ASHOKNAGAR R,21,70,0,91,23.1,76.9,0.0
MDN,MIDNAPORE,3,43,45,91,3.3,47.3,49.5
ASK,ARSIKERE JN.,2,7,82,91,2.2,7.7,90.1
BIRA,BIRA,21,70,0,91,23.1,76.9,0.0
GUMA,GUMA,21,70,0,91,23.1,76.9,0.0
HB,HABRA,21,70,0,91,23.1,76.9,0.0
AKV,ANKLESHWAR J,3,11,76,90,3.3,12.2,84.4
LJN,LUCKNOW JN.,5,13,72,90,5.6,14.4,80.0
ABB,ABADA,12,76,2,90,13.3,84.4,2.2
DG,DINDIGUL JN,3,7,80,90,3.3,7.8,88.9
KWAE,KATWA JN.,0,56,34,90,0.0,62.2,37.8
