Train_No,Start_Station_Code,Start_Station_Name,Start_Departure_Time,End_Station_Code,End_Station_Name,End_Arrival_Time,Midnight_Rollover,Duration_Minutes,Duration_Hours,Duration_Computable,Duration_Status,Total_Distance_km,Route_Type,Classification_Basis
66532,SBC,KRANTIVIRA S,14:45:00,MKM,MARIKUPPAM,17:10:00,False,145.0,2.42,True,Valid (Same Day),85.0,Medium,Duration
66533,MKM,MARIKUPPAM,17:20:00,BYPL,BAIYYAPPANAH,19:15:00,False,115.0,1.92,True,Valid (Same Day),73.0,Medium,Duration
66534,BYPL,BAIYYAPPANAH,19:30:00,KPN,KUPPAM,21:25:00,False,115.0,1.92,True,Valid (Same Day),92.0,Medium,Duration
66535,SBC,KRANTIVIRA S,05:00:00,RMGM,RAMANAGARAM,06:05:00,False,65.0,1.08,True,Valid (Same Day),44.0,Short,Duration
66536,RMGM,RAMANAGARAM,07:35:00,SBC,KRANTIVIRA S,08:40:00,False,65.0,1.08,True,Valid (Same Day),44.0,Short,Duration
66537,SBC,KRANTIVIRA S,17:25:00,RMGM,RAMANAGARAM,18:30:00,False,65.0,1.08,True,Valid (Same Day),44.0,Short,Duration
66538,RMGM,RAMANAGARAM,18:40:00,SBC,KRANTIVIRA S,19:45:00,False,65.0,1.08,True,Valid (Same Day),44.0,Short,Duration
66539,SBC,KRANTIVIRA S,19:55:00,RMGM,RAMANAGARAM,21:00:00,False,65.0,1.08,True,Valid (Same Day),44.0,Short,Duration
66540,RMGM,RAMANAGARAM,22:35:00,SBC,KRANTIVIRA S,23:50:00,False,75.0,1.25,True,Valid (Same Day),44.0,Short,Duration
66541,WFD,WHITE FIELD,10:30:00,SBC,KRANTIVIRA S,11:10:00,False,40.0,0.67,True,Valid (Same Day),21.0,Short,Duration
66542,SBC,KRANTIVIRA S,08:45:00,WFD,WHITE FIELD,09:40:00,False,55.0,0.92,True,Valid (Same Day),21.0,Short,Duration
66543,KPN,KUPPAM,14:45:00,SBC,KRANTIVIRA S,17:15:00,False,150.0,2.5,True,Valid (Same Day),102.0,Medium,Duration
66544,SBC,KRANTIVIRA S,11:45:00,KPN,KUPPAM,14:05:00,False,140.0,2.33,True,Valid (Same Day),102.0,Medium,Duration
